Month,Day,max,min,mean
1,1,7.94,7.79,7.8275
1,2,8.1,7.32,7.71
1,3,7.63,7.32,7.515
1,4,7.94,7.32,7.5925
1,5,8.26,7.63,7.945
1,6,8.56,8.1,8.3325
1,7,8.41,7.94,8.255
1,8,7.79,7.32,7.515
1,9,7.79,7.17,7.48
1,10,7.63,7.17,7.3225
1,11,7.63,7.17,7.3225
1,12,7.32,6.86,7.09
1,13,7.63,7.17,7.4
1,14,7.48,7.01,7.2825
1,15,7.48,6.54,6.9725
1,16,7.01,6.23,6.6225
1,17,7.32,6.7,7.05
1,18,7.48,7.17,7.285
1,19,7.48,7.01,7.2075
1,20,6.86,5.92,6.3875
1,21,6.86,6.7,6.78
1,22,7.32,6.86,7.09
1,23,7.48,7.01,7.245
1,24,7.32,6.7,6.935
1,25,7.48,6.7,7.0125
1,26,7.01,6.39,6.74
1,27,7.17,6.54,6.8175
1,28,6.7,5.76,6.19
1,29,6.39,5.61,6.155
1,30,7.01,6.23,6.6225
1,31,8.72,4.83,6.6975
2,1,7.01,6.23,6.66
2,2,7.32,6.54,6.9325
2,3,7.17,6.54,6.8175
2,4,7.01,6.86,6.9725
2,5,6.86,6.07,6.4275
2,6,7.32,6.07,6.66
2,7,7.63,6.39,7.05
2,8,7.32,6.86,7.1675
2,9,6.54,5.45,6.0325
2,10,6.23,4.98,5.5275
2,11,6.23,4.83,5.5675
2,12,7.63,5.76,6.695
2,13,7.17,6.23,6.8175
2,14,6.23,4.98,5.49
2,15,5.61,3.89,4.71
2,16,5.14,3.89,4.3575
2,17,4.67,2.94,3.6125
2,18,4.83,2.78,3.57
2,19,4.83,2.78,3.69
2,20,5.14,3.42,4.24
2,21,5.92,4.67,5.2175
2,22,6.54,4.83,5.605
2,23,5.76,4.52,5.3325
2,24,4.36,3.57,3.965
2,25,4.83,3.42,4.2825
2,26,6.07,4.83,5.645
2,27,6.86,5.92,6.3875
2,28,6.23,5.61,5.9175
3,1,7.01,5.61,6.31
3,2,7.32,6.23,6.7375
3,3,6.7,5.14,5.9575
3,4,7.01,5.76,6.345
3,5,7.32,5.29,6.2675
3,6,7.94,6.54,7.435
3,7,7.48,6.54,7.01
3,8,6.23,4.83,5.2575
3,9,5.92,4.83,5.335
3,10,5.92,4.83,5.4125
3,11,6.07,4.67,5.2925
3,12,5.76,4.67,5.215
3,13,6.7,4.67,5.88
3,14,6.86,6.07,6.3075
3,15,6.86,6.23,6.4275
3,16,6.86,5.76,6.3475
3,17,7.17,5.92,6.6225
3,18,6.7,5.61,6.115
3,19,6.39,4.98,5.685
3,20,6.86,4.83,6
3,21,7.94,6.39,7.4
3,22,7.48,7.01,7.3225
3,23,8.1,6.86,7.71
3,24,7.79,7.17,7.635
3,25,7.63,6.39,7.1275
3,26,7.79,6.54,7.205
3,27,8.26,6.54,7.595
3,28,8.72,7.32,7.98
3,29,8.87,6.54,7.9025
3,30,9.18,7.79,8.6025
3,31,9.03,7.79,8.3725
4,1,8.26,7.63,7.905
4,2,9.34,7.17,8.525
4,3,9.34,7.79,8.68
4,4,9.34,8.26,8.76
4,5,9.34,7.63,8.7175
4,6,9.65,7.79,8.9525
4,7,9.81,7.94,9.0275
4,8,10.28,8.72,9.6525
4,9,9.49,8.87,9.18
4,10,9.96,8.56,9.145
4,11,9.96,8.26,9.2625
4,12,10.28,9.03,9.6925
4,13,8.72,8.1,8.485
4,14,8.56,7.79,8.255
4,15,8.26,7.48,7.83
4,16,8.56,7.32,7.9025
4,17,8.72,7.17,8.1025
4,18,9.65,7.94,8.8725
4,19,9.49,8.41,9.105
4,20,9.81,8.87,9.4175
4,21,9.65,8.41,8.9125
4,22,9.49,7.48,8.64
4,23,10.28,7.79,9.1875
4,24,10.74,8.26,9.7325
4,25,11.06,9.03,10.1225
4,26,10.12,9.18,9.5325
4,27,10.59,9.03,9.8075
4,28,11.21,9.03,10.355
4,29,9.96,9.03,9.7275
4,30,10.12,8.26,9.265
5,1,9.81,8.56,9.145
5,2,9.81,7.79,8.875
5,3,10.28,8.1,9.3025
5,4,11.06,8.56,9.8875
5,5,11.36,9.03,10.235
5,6,10.12,9.65,9.8075
5,7,10.9,9.49,10.1575
5,8,10.12,9.03,9.4575
5,9,10.28,8.26,9.265
5,10,10.74,8.56,9.65
5,11,10.74,9.18,10
5,12,10.28,9.03,9.6525
5,13,10.12,8.1,9.185
5,14,10.59,8.56,9.7675
5,15,11.67,9.65,10.78
5,16,12.61,10.59,11.635
5,17,12.29,11.06,11.675
5,18,12.45,10.9,11.635
5,19,12.14,11.06,11.5975
5,20,12.14,11.21,11.635
5,21,11.83,10.9,11.5575
5,22,12.29,11.36,11.9025
5,23,12.77,11.52,12.065
5,24,13.08,11.67,12.18
5,25,11.98,11.21,11.635
5,26,11.67,10.9,11.2475
5,27,11.21,10.9,11.0575
5,28,11.52,10.9,11.2475
5,29,11.52,10.59,10.9775
5,30,11.67,9.96,10.8575
5,31,11.67,10.43,11.245
6,1,14.31,11.52,12.45
6,2,13.39,12.29,12.96
6,3,12.29,11.67,11.9025
6,4,11.83,11.36,11.595
6,5,12.45,11.52,11.9075
6,6,12.45,10.9,11.675
6,7,12.61,10.9,11.83
6,8,13.39,11.52,12.4525
6,9,12.92,12.45,12.6475
6,10,12.92,12.14,12.57
6,11,13.08,12.14,12.65
6,12,13.39,11.98,12.765
6,13,13.39,12.77,12.9625
6,14,12.92,12.45,12.6875
6,15,12.92,12.14,12.53
6,16,13.23,12.29,12.7625
6,17,12.45,11.83,12.2175
6,18,12.77,11.52,12.18
6,19,12.61,11.67,12.0625
6,20,12.61,11.21,11.9075
6,21,12.77,11.36,12.025
6,22,12.77,11.36,12.0625
6,23,12.92,11.21,12.1025
6,24,13.39,11.67,12.61
6,25,14,12.29,13.19
6,26,14.31,13.08,13.6175
6,27,13.85,12.92,13.27
6,28,13.08,12.14,12.53
6,29,13.23,11.83,12.53
6,30,13.54,11.98,12.765
7,1,13.69,12.29,12.955
7,2,14,12.29,13.15
7,3,14,12.77,13.3875
7,4,13.69,12.61,13.115
7,5,18.63,12.45,14.3475
7,6,12.92,12.45,12.6075
7,7,13.39,11.83,12.57
7,8,14,12.14,13.075
7,9,13.85,12.92,13.3875
7,10,13.39,12.77,13.04
7,11,13.54,12.14,12.88
7,12,14.16,12.29,13.1475
7,13,13.39,12.92,13.155
7,14,13.08,12.61,12.845
7,15,13.54,12.29,12.8025
7,16,13.54,11.83,12.6475
7,17,13.08,12.14,12.49
7,18,13.39,11.67,12.49
7,19,13.08,11.98,12.53
7,20,14,12.14,13.1125
7,21,14.78,13.08,13.89
7,22,15.11,13.69,14.3575
7,23,15.27,14.16,14.555
7,24,15.11,13.85,14.28
7,25,14.63,13.54,13.9675
7,26,14.78,13.39,13.9275
7,27,14.63,13.39,13.85
7,28,13.69,13.08,13.27
7,29,13.23,12.77,12.9225
7,30,13.39,11.52,12.57
7,31,13.23,12.29,12.685
8,1,13.85,12.29,12.9575
8,2,13.69,12.29,12.8775
8,3,13.69,12.45,12.9975
8,4,13.69,12.61,12.96
8,5,13.85,12.14,12.88
8,6,14.16,12.45,13.1925
8,7,14.16,12.77,13.31
8,8,13.08,12.61,12.845
8,9,13.85,12.77,13.195
8,10,13.39,12.92,13.0375
8,11,13.08,12.61,12.7275
8,12,13.69,12.29,12.88
8,13,13.85,12.29,12.995
8,14,14,12.77,13.23
8,15,13.69,12.77,13.075
8,16,13.69,12.45,12.9175
8,17,13.54,12.45,12.8425
8,18,13.69,12.29,12.9175
8,19,13.85,12.77,13.1175
8,20,14,12.61,13.115
8,21,14,12.45,13.0725
8,22,13.69,12.61,12.9975
8,23,13.39,12.45,12.8425
8,24,13.39,12.45,12.765
8,25,13.69,12.29,12.8375
8,26,13.85,12.61,13.0775
8,27,13.85,12.61,13.115
8,28,14,12.77,13.1925
8,29,13.23,12.61,12.8425
8,30,13.08,12.14,12.49
8,31,12.92,11.83,12.255
9,1,13.08,11.67,12.2975
9,2,13.39,11.98,12.53
9,3,13.39,12.29,12.7225
9,4,13.54,12.45,12.84
9,5,13.54,12.29,12.76
9,6,13.54,12.45,12.8025
9,7,13.39,12.29,12.645
9,8,13.23,11.98,12.45
9,9,12.77,12.45,12.57
9,10,12.92,11.83,12.2175
9,11,13.08,11.83,12.335
9,12,13.23,12.14,12.57
9,13,12.77,12.14,12.4125
9,14,11.98,11.52,11.71
9,15,11.98,11.06,11.365
9,16,12.14,10.9,11.4025
9,17,11.52,11.06,11.365
9,18,12.29,11.83,12.06
9,19,12.14,11.52,11.7525
9,20,12.77,11.36,11.945
9,21,12.14,11.36,11.71
9,22,11.83,10.9,11.21
9,23,11.83,10.74,11.2075
9,24,12.14,11.06,11.4825
9,25,12.29,11.36,11.71
9,26,12.45,11.52,11.905
9,27,12.61,11.83,12.1025
9,28,12.61,11.83,12.0625
9,29,12.45,11.67,11.865
9,30,11.83,11.21,11.4025
10,1,11.52,10.59,11.0575
10,2,11.21,9.96,10.5075
10,3,11.06,10.12,10.4725
10,4,11.21,10.28,10.6275
10,5,11.21,9.96,10.51
10,6,11.06,10.28,10.7075
10,7,11.06,9.81,10.315
10,8,10.9,10.28,10.5875
10,9,10.59,9.65,9.965
10,10,10.43,9.18,9.7275
10,11,10.59,9.49,9.885
10,12,10.59,9.49,10.0025
10,13,10.59,9.65,10.04
10,14,10.74,9.81,10.315
10,15,11.67,10.43,11.1675
10,16,11.52,11.21,11.4425
10,17,11.06,10.59,10.8625
10,18,10.9,10.43,10.665
10,19,11.36,10.59,11.0525
10,20,10.74,9.81,10.43
10,21,9.96,9.34,9.495
10,22,9.81,8.87,9.3775
10,23,9.96,9.18,9.5325
10,24,10.12,9.49,9.6475
10,25,9.65,8.72,9.2225
10,26,10.59,9.65,10.08
10,27,10.9,10.43,10.7025
10,28,11.06,10.59,10.745
10,29,9.65,7.63,8.795
10,30,6.86,6.07,6.425
10,31,6.54,5.61,5.92
11,1,7.17,5.45,6.1925
11,2,7.79,6.86,7.325
11,3,10.12,8.72,9.535
11,4,10.59,10.12,10.3925
11,5,10.59,10.28,10.4325
11,6,11.52,10.59,11.21
11,7,11.21,10.43,10.9
11,8,10.12,9.65,9.9225
11,9,9.81,9.03,9.3025
11,10,9.34,7.79,8.7575
11,11,9.34,9.03,9.2625
11,12,9.18,8.41,8.95
11,13,9.03,8.72,8.875
11,14,9.03,8.41,8.7975
11,15,8.87,7.79,8.485
11,16,8.72,8.26,8.565
11,17,8.72,8.26,8.45
11,18,9.18,8.56,8.87
11,19,9.18,8.72,8.9875
11,20,9.03,8.56,8.7575
11,21,8.72,8.41,8.525
11,22,8.56,7.94,8.33
11,23,8.26,7.63,7.905
11,24,7.94,7.32,7.7075
11,25,7.17,6.23,6.895
11,26,6.23,5.61,5.88
11,27,5.61,5.29,5.41
11,28,4.67,3.89,4.4
11,29,4.52,3.73,4.085
11,30,5.45,4.98,5.255
12,1,5.92,5.61,5.7625
12,2,5.76,5.45,5.6075
12,3,5.76,5.29,5.5275
12,4,5.76,5.29,5.4475
12,5,5.76,5.61,5.7225
12,6,5.92,5.76,5.84
12,7,6.39,5.76,6.075
12,8,6.54,6.23,6.3075
12,9,6.54,5.92,6.31
12,10,7.01,6.39,6.74
12,11,6.86,6.54,6.78
12,12,6.86,6.54,6.7
12,13,7.17,6.23,6.7
12,14,6.39,6.07,6.19
12,15,6.23,5.92,6.075
12,16,6.23,5.92,6.035
12,17,6.07,5.76,5.9175
12,18,6.23,5.92,6.075
12,19,6.54,6.23,6.385
12,20,6.86,6.54,6.7
12,21,6.7,6.39,6.5825
12,22,6.54,5.92,6.27
12,23,6.23,5.92,6.1125
12,24,6.07,5.76,5.8775
12,25,6.54,5.92,6.2675
12,26,6.54,6.23,6.425
12,27,6.39,5.76,6.1925
12,28,5.29,4.98,5.2125
12,29,5.76,5.14,5.4125
12,30,6.39,5.76,6.035
12,31,6.7,6.23,6.425
